0, pennywhistle,stop
1.1,pennywhistle ,A
2,pennywhistle ,G
2.5,pennywhistle ,F
3,pennywhistle ,G
3.5,pennywhistle ,A
4,pennywhistle ,A
4.5,pennywhistle ,A
5,pennywhistle ,stop
5.5,pennywhistle ,G
6,pennywhistle ,G
6.5,pennywhistle ,G
7,pennywhistle ,stop
7.5,pennywhistle ,A
8,pennywhistle ,C
8.5,pennywhistle ,C
9,pennywhistle ,stop
9.8,pennywhistle ,A
10.5,pennywhistle ,G
11,pennywhistle ,F
11.5,pennywhistle ,G
12,pennywhistle ,A
12.5,pennywhistle ,A
13,pennywhistle ,A
13.5,pennywhistle ,stop
13.8,pennywhistle ,A
14.3,pennywhistle ,G
15,pennywhistle ,G
15.5,pennywhistle ,A
16,pennywhistle ,G
16.5,pennywhistle ,F
17.3,pennywhistle ,stop
